descripcion|direccion|fot|irregular|medidas|esquina|barrio|frentes|pileta
Lote de 8.66 x 26 mts. - Ideal emprendimiento. Zona S2 R3 - con cloacas. FOS 0.6 y FOT 1.8 Densidad 800 habitantes.||1.8||8.66 x 26 mts||||
Excelente terreno de 8,66 mts de frente por 43,50 mts de fondo, sobre Av. Manuel Belgrano al 6200. Ideal inversor.|Av. Manuel Belgrano al 6200.|||8,66 mts de frente por 43,50 mts||||
Lote de 8.66x22.30. En excelente ubicación, a seis cuadras de avenida Santa Fe y a dos cuadras de calle Paraná. Sobre el terreno hay una edificación de tres ambientes para demoler. Apta vivienda unifamiliar. Zonificación RMB2, FOS 0.5, FOT 1, RADIO 7.||1||8.66x22.30||||
Terreno en venta ubicada sobre calle 618 e/ 6 bis y 7 - Localidad Villa Elvira -  al frente con orientación al Noroeste. Sobre calle de asfalto y servicios de electricidad, agua corriente, gas natural y cloacas. _Regular, entre medianeras, alambrado, nivelado y con unas medidas de 10 x 35.41 mts - 354 mts 2 totales|calle 618 e/ 6 bis y 7|||10 x 35.41 mts||||
Lote en venta sobre la calle Rocal al 1600, entre Mons Blois y Fraga, que mide 12.90mts de frente por 48mts de fondo. En el mismo se encuentra construida una casa a refaccionar de 100m2 cub aprox, de construcción solida con techo de losa. Zonificación Rmi   (FOS 0,6  FOT 0,8)  Posibilidad de construir PB + Primer Nivel. Ideal emprendimiento.|calle Rocal al 1600, entre Mons Blois y Fraga|0,8||12.90mts de frente por 48mts de fondo||||
Semipiso de 1 dormitorio la estrenar en calle 7 e/71 y 72. Disponible en piso 5° al frente y 6° al contrafrente. Excelente iluminación y ventilación cruzada. ALQUILADO DESDE MARZO 2023 A $70.000 un dormitorio con placar living con balcón cocina con mueble bajo mesada baño completo lavadero separado cochera optativa Listo para escriturar.|7 e/71 y 72|||||||
Barrio Cerrado El Paso - Del Viso Lote A22 Lote interno, 744 m2 Cercano a área deportiva y entrada del barrio. El precio publicado incluye un 35% de descuento por ser valor de preventa||||||Barrio Cerrado El Paso||
Venta de Lote en Barrio Hipódromo, La Plata. Lote sobre Avenida 38 de 328 m2 superficie, el mismo posee zonificación U/C3 (AREA URBANA/ Áreas de promoción y Corredores de Acceso Principal y Complementaria) apto para desarrollo constructivos o comerciales ya que se permiten construir hasta 6 Niveles (Fos 0.6/ Fot Res. 2; Fot Com. 2.4/ Den Res. 800; Den Com. 1.600/ Premios 30% en FOT y DEN.), el mismo cuenta con una casa de 3 dormitorios, cocina comedor, baño y garage, la misma se encuentra a reciclar o demoler. Morfología irregular, medidas 7.54 x 39.82 x 9.43 mts.||Fot Res. 2; Fot Com. 2.4|Morfología irregular|7.54 x 39.82 x 9.43 mts.||||
GALPON ,CON MUY BUEN ACCESO A PANAMERICANA Y RUTA 202 ( A SOLO 600 METROS ). ZONIFICACION: AREA INDUSTRIAL I2. CARACTERISTICAS:. ALTURA 6 METROS SIN COLUMNAS. PORTON: 4.80 mts. alto y 4.50 mts. ancho. LOTE: 10 X 30. CUBIERTOS: 190 M2. FUERZA MOTRIZ. FOS 0.60. FOT 1.20.|PANAMERICANA Y RUTA 202|1.20||10 X 30||||
LOTE DE 10X30 EN LOMAS DEL MIRADOR. EXCELENTE ACCESO A UNA CUADRA DE GRAL PAZ Y 3 DE MOSCONI Y DE TONELERO. FOT 2,25. FOS 0,6||2,25||10X30||LOMAS DEL MIRADOR||
Terreno en venta. Lote irregular de 131 m2. Con frente de 8.76 , un lateral de 16,8 y otro lateral de 13,6. FOT 2,5||2,5|irregular|frente de 8.76 , un lateral de 16,8 y otro lateral de 13,6||||
Casa de 4 ambientes en Lomas del Mirador.  Ubicada en Melo 836, Lomas del Mirador.  Lote de 8,66 x 23 Vivienda con 100 años de antigüedad aprox. (ideal modernizar o demoler) de 90 m2 Cubiertos  o Cocina. o Comedor. o Baño. o 3 Dormitorios. o Patio. o Terraza. o Galpón.  ZONIFICACION Zona: U2B FOS 0,6 FOT 2.25 Densidad 700 Altura Máxima 13 mts|Melo 836|2.25||8,66 x 23||Lomas del Mirador||
Excelente propiedad sobre esquina con un frente lineal de 162 metros y salida a tres calles, Cabildo Guatemala y Pilcomayo. Superficie de terreno 6200 m2. Contrapiso para camiones en casi su totalidad. Sectores descubiertos a reciclar. Zona industrial. Apto todo destino. FOT residencial: 2, FOT industrial: 1,5, FOS: 60% max.|Cabildo Guatemala y Pilcomayo|FOT residencial: 2, FOT industrial: 1,5|||sobre esquina||un frente lineal|
SOLIDO PH AL FRENTE 3 AMBIENTES CON PATIO Y JARDIN DE 7 X5 . SON SOLO 2 UNIDADES EN EL LOTE.  TECHO DE LOSA CON POSIBILIDAD DE AMPLIACION.LOS DOS DORMITORIOS AL FRENTE. LIVING-COMEDOR CON COCINA INTEGRADA. BAÑO COMPLETO. LAVADERO . PATIO Y JARDIN CON PEQUEÑA PILETA DE FIBRA DE VIDRIO.LA PROPIEDAD ESTA DE EPOCA. ANTIGUEDAD 40 AÑOSMUY BUENA UBICACION Y BUENOS ACCESOS.||||||||PEQUEÑA PILETA DE FIBRA DE VIDRIO
HERMOSO Lote en venta de (1.500 m2) con excelente ubicación!El cual consta de: Dos frentes a calles, uno con vista al Norte y otro al Este.Dos niveles de superficie, uno con tierra y otro nivel más elevado sobre roca.Amplias vistas panorámicas hacia las sierras chicas, sierras grandes y centro de Tanti.Colindante con espacio verde sobre lado Sur y parte del Oeste.Excepcional base para diseño de parque en rocalla. Existencia de acacias, paraísos, durazneros, yucas, lantanas, aromitos, palo amarillo y romerillos.Pasan por el frente TV por cable y recolección de residuos; luz instalada hasta unos 40 mt, y agua a 100 mt.|||||||Dos frentes|
Ubicado en una esquina muy importante de Villa Ballester. Con acceso a varias líneas de colectivos. Frente 22 m, lateral 19.33 m y superficie de 422 m2. Cantidad de pisos a construir PB más 3 pisos. Estudio de factibilidad disponible. Se escuchan ofertas. Se vende ya !||||Frente 22 m, lateral 19.33 m|Ubicado en una esquina|||
